tpep_pickup_date;tpep_pickup_hour;region;count
2015-06-01;0;1230;231
2015-06-01;1;1230;151
2015-06-01;2;1230;90
2015-06-01;3;1230;77
2015-06-01;4;1230;75
2015-06-01;5;1230;152
2015-06-01;6;1230;390
2015-06-01;7;1230;622
2015-06-01;8;1230;877
2015-06-01;9;1230;935
2015-06-01;10;1230;816
2015-06-01;11;1230;877
2015-06-01;12;1230;904
2015-06-01;13;1230;849
2015-06-01;14;1230;901
2015-06-01;15;1230;781
2015-06-01;16;1230;640
2015-06-01;17;1230;758
2015-06-01;18;1230;844
2015-06-01;19;1230;991
2015-06-01;20;1230;990
2015-06-01;21;1230;896
2015-06-01;22;1230;960
2015-06-01;23;1230;672
2015-06-02;0;1230;424
2015-06-02;1;1230;232
2015-06-02;2;1230;147
2015-06-02;3;1230;79
2015-06-02;4;1230;74
2015-06-02;5;1230;143
2015-06-02;6;1230;400
2015-06-02;7;1230;757
2015-06-02;8;1230;976
2015-06-02;9;1230;980
2015-06-02;10;1230;850
2015-06-02;11;1230;977
2015-06-02;12;1230;1043
2015-06-02;13;1230;1019
2015-06-02;14;1230;1090
2015-06-02;15;1230;850
2015-06-02;16;1230;617
2015-06-02;17;1230;709
2015-06-02;18;1230;896
2015-06-02;19;1230;969
2015-06-02;20;1230;1059
2015-06-02;21;1230;991
2015-06-02;22;1230;963
2015-06-02;23;1230;760
2015-06-03;0;1230;494
2015-06-03;1;1230;268
2015-06-03;2;1230;182
2015-06-03;3;1230;90
2015-06-03;4;1230;115
2015-06-03;5;1230;131
2015-06-03;6;1230;354
2015-06-03;7;1230;664
2015-06-03;8;1230;999
2015-06-03;9;1230;1008
2015-06-03;10;1230;948
2015-06-03;11;1230;1086
2015-06-03;12;1230;1109
2015-06-03;13;1230;1077
2015-06-03;14;1230;1035
2015-06-03;15;1230;975
2015-06-03;16;1230;614
2015-06-03;17;1230;636
2015-06-03;18;1230;911
2015-06-03;19;1230;991
2015-06-03;20;1230;1092
2015-06-03;21;1230;968
2015-06-03;22;1230;904
2015-06-03;23;1230;933
2015-06-04;0;1230;654
2015-06-04;1;1230;373
2015-06-04;2;1230;215
2015-06-04;3;1230;127
2015-06-04;4;1230;109
2015-06-04;5;1230;149
2015-06-04;6;1230;362
2015-06-04;7;1230;660
2015-06-04;8;1230;1032
2015-06-04;9;1230;1016
2015-06-04;10;1230;1029
2015-06-04;11;1230;1101
2015-06-04;12;1230;1147
2015-06-04;13;1230;1071
2015-06-04;14;1230;1077
2015-06-04;15;1230;803
2015-06-04;16;1230;572
2015-06-04;17;1230;639
2015-06-04;18;1230;923
2015-06-04;19;1230;1019
2015-06-04;20;1230;1115
2015-06-04;21;1230;1069
2015-06-04;22;1230;880
2015-06-04;23;1230;979
2015-06-05;0;1230;831
2015-06-05;1;1230;468
2015-06-05;2;1230;308
2015-06-05;3;1230;197
2015-06-05;4;1230;156
2015-06-05;5;1230;193
2015-06-05;6;1230;386
2015-06-05;7;1230;590
2015-06-05;8;1230;864
2015-06-05;9;1230;866
2015-06-05;10;1230;1060
2015-06-05;11;1230;1030
2015-06-05;12;1230;912
2015-06-05;13;1230;777
2015-06-05;14;1230;789
2015-06-05;15;1230;684
2015-06-05;16;1230;556
2015-06-05;17;1230;659
2015-06-05;18;1230;1047
2015-06-05;19;1230;1211
2015-06-05;20;1230;1086
2015-06-05;21;1230;1061
2015-06-05;22;1230;1101
2015-06-05;23;1230;1030
2015-06-06;0;1230;928
2015-06-06;1;1230;768
2015-06-06;2;1230;527
2015-06-06;3;1230;373
2015-06-06;4;1230;338
2015-06-06;5;1230;170
2015-06-06;6;1230;202
2015-06-06;7;1230;298
2015-06-06;8;1230;412
2015-06-06;9;1230;528
2015-06-06;10;1230;656
2015-06-06;11;1230;869
2015-06-06;12;1230;945
2015-06-06;13;1230;914
2015-06-06;14;1230;852
2015-06-06;15;1230;826
2015-06-06;16;1230;780
2015-06-06;17;1230;903
2015-06-06;18;1230;961
2015-06-06;19;1230;1025
2015-06-06;20;1230;920
2015-06-06;21;1230;936
2015-06-06;22;1230;1152
2015-06-06;23;1230;1149
2015-06-07;0;1230;994
2015-06-07;1;1230;803
2015-06-07;2;1230;629
2015-06-07;3;1230;539
2015-06-07;4;1230;399
2015-06-07;5;1230;181
2015-06-07;6;1230;147
2015-06-07;7;1230;184
2015-06-07;8;1230;260
2015-06-07;9;1230;427
2015-06-07;10;1230;611
2015-06-07;11;1230;708
2015-06-07;12;1230;763
2015-06-07;13;1230;737
2015-06-07;14;1230;837
2015-06-07;15;1230;804
2015-06-07;16;1230;596
2015-06-07;17;1230;643
2015-06-07;18;1230;805
2015-06-07;19;1230;815
2015-06-07;20;1230;757
2015-06-07;21;1230;772
2015-06-07;22;1230;622
2015-06-07;23;1230;597
2015-06-08;0;1230;393
2015-06-08;1;1230;271
2015-06-08;2;1230;148
2015-06-08;3;1230;81
2015-06-08;4;1230;101
2015-06-08;5;1230;124
2015-06-08;6;1230;370
2015-06-08;7;1230;537
2015-06-08;8;1230;817
2015-06-08;9;1230;812
2015-06-08;10;1230;784
2015-06-08;11;1230;912
2015-06-08;12;1230;978
2015-06-08;13;1230;938
2015-06-08;14;1230;914
2015-06-08;15;1230;908
2015-06-08;16;1230;795
2015-06-08;17;1230;935
2015-06-08;18;1230;1203
2015-06-08;19;1230;1281
2015-06-08;20;1230;1165
2015-06-08;21;1230;1271
2015-06-08;22;1230;1008
2015-06-08;23;1230;869
2015-06-09;0;1230;467
2015-06-09;1;1230;229
2015-06-09;2;1230;164
2015-06-09;3;1230;88
2015-06-09;4;1230;90
2015-06-09;5;1230;127
2015-06-09;6;1230;345
2015-06-09;7;1230;616
2015-06-09;8;1230;1044
2015-06-09;9;1230;1051
2015-06-09;10;1230;976
2015-06-09;11;1230;1055
2015-06-09;12;1230;1092
2015-06-09;13;1230;1103
2015-06-09;14;1230;1092
2015-06-09;15;1230;928
2015-06-09;16;1230;646
2015-06-09;17;1230;718
2015-06-09;18;1230;1038
2015-06-09;19;1230;1209
2015-06-09;20;1230;1187
2015-06-09;21;1230;1217
2015-06-09;22;1230;1078
2015-06-09;23;1230;851
2015-06-10;0;1230;645
